original,generated
Q.一回についてどう思う？ A.,Q.一回についてどう思う？ A.くんのねギリギリ税金払ってるくらいの税金だってもう明日までかまぁ一回払わねぇでなのにやめてくんない?
Q.奴についてどう思う？ A.,Q.奴についてどう思う？ A.何かそんな・・・すかせた奴・・・嫌だ。
Q.今脳みそについてどう思う？ A.,Q.今脳みそについてどう思う？ A.今脳みそが完全に情報を遮断してるのでそういうさフロストパンクとか多分頭使うだろうファモスフォビアとかアップデートしよう
Q.準備についてどう思う？ A.,Q.準備についてどう思う？ A.俺なんにもできないじゃん準備してもらうしかないじゃん
Q.顔出しについてどう思う？ A.,Q.顔出しについてどう思う？ A.こいつ人間ちゃんと顔出ししてんだなって全てやったらバンされるされねえだろ
Q.ファールについてどう思う？ A.,Q.ファールについてどう思う？ A.ファールになるんだ許すなそんな言うからみんなやるんだよ
Q.動画についてどう思う？ A.,Q.動画についてどう思う？ A.あいつの動画見てるとさ行きたくなっちまうんだよ
Q.結婚式についてどう思う？ A.,Q.結婚式についてどう思う？ A.このままじゃ泡吹いて倒れちゃうかもしれないこのゲームで1位取った奴に結婚式の祝辞コメントさせるよ
Q.界面体についてどう思う？ A.,Q.界面体についてどう思う？ A.俺たちの界面体って、AV女優がこうやって支えてくれてるんだよ。
Q.金についてどう思う？ A.,Q.金についてどう思う？ A.お前にお金やれよじゃんほらこうやってサブスクの仕方も分かんねえんだ
Q.コメントについてどう思う？ A.,Q.コメントについてどう思う？ A.ゅぴこみっくーんみたいなコメントがいっぱいあるお!
Q.2番についてどう思う？ A.,Q.2番についてどう思う？ A.あれ右から2番目誰だっけな俺使ってたぞハルウララじゃねえのこいつイマナミさん
Q.プライバシーコンテンツについてどう思う？ A.,Q.プライバシーコンテンツについてどう思う？ A.設定とプライバシーコンテンツの設定で見てるコンテンツの設定ないよ
Q.時期浮気についてどう思う？ A.,Q.時期浮気についてどう思う？ A.俺今の音楽祭でチヤホヤされて鼻が高くなっててそれでその時期浮気しちゃったんだよね
Q.褐色コスプレイヤーについてどう思う？ A.,Q.褐色コスプレイヤーについてどう思う？ A.何これ トップフォロワーなに俺 すげーいいじゃん 褐色コスプレイヤーからフォローされてますみたいのが見れるよ2021年 何月だ
Q.プペルについてどう思う？ A.,Q.プペルについてどう思う？ A.プペルあれ何だっけ何のプペルだっけ
Q.花についてどう思う？ A.,Q.花についてどう思う？ A.花がパックしなきゃいけないんだでも一回一回しますって言ったから次もしますよねって来られたらします
Q.庵野についてどう思う？ A.,Q.庵野についてどう思う？ A.あと2連チャンスやれば庵野出てきたのにな大谷って何がすごいの?
Q.人についてどう思う？ A.,Q.人についてどう思う？ A.え、じゃあ、どうやってあ、じゃあ俺この人たちのスタンプだったら使えるってこと?
Q.今マッサージガイルについてどう思う？ A.,Q.今マッサージガイルについてどう思う？ A.今マッサージガイルでさセットすらしてないんだよね
Q.タイについてどう思う？ A.,Q.タイについてどう思う？ A.めちゃくちゃタイ米とか出てこなかったよ
Q.今大阪についてどう思う？ A.,Q.今大阪についてどう思う？ A.海遊館でも沖縄も今大阪も増えてんだろうだったらもう我慢して沖縄まで行きたいわ俺だからもうさマサルのせいだよ
Q.無理についてどう思う？ A.,Q.無理についてどう思う？ A.ニコ生はつけない技術的に無理投げ線投げ線両方つけてyoutubeとツイッチニコ生だけにしようかな考えてないレインボーナオクがまた一人生まれたいいね
Q.夜についてどう思う？ A.,Q.夜についてどう思う？ A.夜打つでいると思いますがあ、いらねえな。
Q.無駄についてどう思う？ A.,Q.無駄についてどう思う？ A.せっかくお名誉連れてきたっても木見てカワイイとか言ってたら無駄じゃねえか殺されてやるか大喧嘩したわ動物園も結構行ってんだよ
Q.楽についてどう思う？ A.,Q.楽についてどう思う？ A.俺がよくしょうがないでってモノマネする遠楽さんは2個前の遠楽さんになっちゃった
Q.ビデオについてどう思う？ A.,Q.ビデオについてどう思う？ A.ビデオ頼んでたと思うんだけどじゃあいいよ
Q.いまモチベーションについてどう思う？ A.,Q.いまモチベーションについてどう思う？ A.じゃあいけそうみたいないまモチベーション高いわあれ?
Q.千葉未来高校についてどう思う？ A.,Q.千葉未来高校についてどう思う？ A.そんなエピソードあった気がするだけど学校としては勉強はできないかもしれないけど今わかんないけどな千葉未来高校で勉強できないよね
Q.ハンジョウについてどう思う？ A.,Q.ハンジョウについてどう思う？ A.俺ハゼって呼ぶわハゼってあの毒のある魚じゃないのハンジョウの本名
Q.最近大人についてどう思う？ A.,Q.最近大人についてどう思う？ A.めちゃくちゃ元気メアリーが最近大人になってきちゃってさ
Q.調子についてどう思う？ A.,Q.調子についてどう思う？ A.おじさんはおじさんなりに一緒にいてより萌えさんって言ってたらなんかすごい遠ざけてる向こうが調子に乗ってると思われちゃったらやだなって思っちゃうのよ
Q.エルデンリングについてどう思う？ A.,Q.エルデンリングについてどう思う？ A.エルデンリングだけ避けてみようと思って。
Q.9240円についてどう思う？ A.,Q.9240円についてどう思う？ A.9900円とさ9240円どっち買ったほうがいい?
Q.マジクソについてどう思う？ A.,Q.マジクソについてどう思う？ A.スマイルそうものすごい素敵な人だった大好きになっちゃった音でかくしよ聞こえない北山くんマジクソ
Q.生についてどう思う？ A.,Q.生についてどう思う？ A.ニコ生にも未練はないんですかいや別に未練がないわけじゃないけどさ
Q.絶対後ろについてどう思う？ A.,Q.絶対後ろについてどう思う？ A.なるほど正面にいるんですか新しいキュリーレイスいねーのかリングの収めときかなあーの上取ってる奴らがちょ邪魔くせぇな絶対後ろにいるよね
Q.初日についてどう思う？ A.,Q.初日についてどう思う？ A.まず初日ちょっとだから動かしてよわかんないんだよ
Q.一についてどう思う？ A.,Q.一についてどう思う？ A.俺があれだよ一つするだけだよ
Q.人についてどう思う？ A.,Q.人についてどう思う？ A.あいつは何だっけ、何組んだっけあの人。
Q.手殺しについてどう思う？ A.,Q.手殺しについてどう思う？ A.あいつ3月はコロナで暇だし盛り上げ役には手殺しじゃねぇか俺すごい芸能人だと思ってるけどみんなの中ではなんかその辺にいるおっちゃんだと思ってるのかな
Q.岡本一馬についてどう思う？ A.,Q.岡本一馬についてどう思う？ A.バキと岡本一馬がコラボしてるの知ってるよ岡本一馬っていうか
Q.息子についてどう思う？ A.,Q.息子についてどう思う？ A.あれをやらせればねえ後継者ができたわ嬉しい息子ができたみたいだ
Q.趣味についてどう思う？ A.,Q.趣味についてどう思う？ A.俺の共通の趣味が加藤純一だったんだ
Q.男についてどう思う？ A.,Q.男についてどう思う？ A.ジョイって男にモテないって本当なの?
Q.下処理についてどう思う？ A.,Q.下処理についてどう思う？ A.ちゃんとやっぱ下処理しなきゃいけないんだ。
Q.学級委員についてどう思う？ A.,Q.学級委員についてどう思う？ A.図書館でうんこちゃんの名言一覧みたいなの取ろうとしたら学級委員長同士メガネかけたすごい可愛い女の子と手が触れ合っちゃってそういう出会いってある?
Q.理由についてどう思う？ A.,Q.理由についてどう思う？ A.理由は怖かった怖くて乗れなかったうちのお姉ちゃん怖くなかった?
Q.フジナミについてどう思う？ A.,Q.フジナミについてどう思う？ A.フジナミが今年こそ復活したのは5年連続5回目ね
Q.除菌についてどう思う？ A.,Q.除菌についてどう思う？ A.あはは除菌せずに株を長期で運用しろやだ。
Q.苦労についてどう思う？ A.,Q.苦労についてどう思う？ A.まぁ見る側は見る側なりの苦労があるんだろうな俺やっぱやる側だからさ正直広告なんて踏まなくて済むしだるいよね
Q.やつクリケットクリケットについてどう思う？ A.,Q.やつクリケットクリケットについてどう思う？ A.あの野球みたいなキックベースみたいなこれで打つやつクリケットクリケットなんてさ
Q.資源についてどう思う？ A.,Q.資源についてどう思う？ A.でもさ俺が開ければ開けるほどさ社会の資源が減ってくじゃんあれ開けたら脳汁クソ出るよねでもさどんどん俺が開けてったらさ
Q.二文字についてどう思う？ A.,Q.二文字についてどう思う？ A.二文字でしか会話できないんだよ
Q.ブスについてどう思う？ A.,Q.ブスについてどう思う？ A.ちゃんとしたダサいブスだからマジでやめとけ。
Q.浮気についてどう思う？ A.,Q.浮気についてどう思う？ A.恋愛的な浮気はほんとにしてない。
Q.話についてどう思う？ A.,Q.話についてどう思う？ A.タフな話しろタフな話したいけどさ
Q.解散ライブについてどう思う？ A.,Q.解散ライブについてどう思う？ A.3月12日に解散ライブがあるんだけど。
Q.4万再生についてどう思う？ A.,Q.4万再生についてどう思う？ A.4万再生ぐらいでいいだろ体ちっちゃいんだから飯も食わないでいいんだからバカなんじゃねえの2500再生ぐらいでなんとか食っていけんだろ
Q.渋谷についてどう思う？ A.,Q.渋谷についてどう思う？ A.今だとネット晒されるなんか変な人が渋谷にいました
Q.水族についてどう思う？ A.,Q.水族についてどう思う？ A.チュラ海浴は水族館行きたいなんかその行ったことない
Q.マイクロチップについてどう思う？ A.,Q.マイクロチップについてどう思う？ A.いや昔からそうじゃないマイクロチップ埋め込まれてないペットっている?
Q.28についてどう思う？ A.,Q.28についてどう思う？ A.28ぐらいのときにもなったんだけど、そのときはもうほんとにほぼ聞こえなくて、左耳。
Q.ロンについてどう思う？ A.,Q.ロンについてどう思う？ A.これこのTシャツにしたロンTにしたなんかこれだけでいけたよ
Q.千葉未来についてどう思う？ A.,Q.千葉未来についてどう思う？ A.めちゃくちゃいい高校だけど自分の漢字が難しくて書けなかったんだから千葉未来また名前変わったの?
Q.自動についてどう思う？ A.,Q.自動についてどう思う？ A.これでもYouTubeが自動でつけたっぽいなあんまほどあるやつ
Q.時についてどう思う？ A.,Q.時についてどう思う？ A.俺のカワウソの時の俺じゃねえか。
Q.猫16についてどう思う？ A.,Q.猫16についてどう思う？ A.猫16匹いるけど月5万くらいかかってる。
Q.モコウについてどう思う？ A.,Q.モコウについてどう思う？ A.だってモコウとユフナなんて仲いいじゃん。
Q.結婚についてどう思う？ A.,Q.結婚についてどう思う？ A.俺結婚のタイミングでするって言ってたけどな投げ線生涯1日1回してツイッチでサブスクだけしようかな言ってなかったっけ
Q.韓国についてどう思う？ A.,Q.韓国についてどう思う？ A.韓国が女に人気あるからBTSみたいな感じ
Q.逆についてどう思う？ A.,Q.逆についてどう思う？ A.めちゃくちゃ遅いやついるこれ逆にこんなことあり得る?
Q.危険日についてどう思う？ A.,Q.危険日についてどう思う？ A.危険日じゃない日にしてほしいせめて聞きたい本当の株さんインポじゃないですか
Q.二度についてどう思う？ A.,Q.二度についてどう思う？ A.俺アンチになったわ二度と俺あいつと喋らないボドカ王ってのを決めてるらしいよ
Q.時顔出しについてどう思う？ A.,Q.時顔出しについてどう思う？ A.俺は多分、エーペックスやってる時とかパブジやってる時顔出ししてないはずだからそういうのないんだよ。
Q.バカについてどう思う？ A.,Q.バカについてどう思う？ A.俺が見たいよバカ、ジューンはもういないよ
Q.塩についてどう思う？ A.,Q.塩についてどう思う？ A.あんなそのまま焼いて塩で食うもんじゃないよね。
Q.パンパンについてどう思う？ A.,Q.パンパンについてどう思う？ A.深海から深海から上がってきたこのパンパンの旗見てください
Q.感じについてどう思う？ A.,Q.感じについてどう思う？ A.君の名みたいな感じだったんだよな
Q.結婚式延長についてどう思う？ A.,Q.結婚式延長についてどう思う？ A.今コロナやばいですけど結婚式延長する予定ありますか。
Q.ジャニーズファンについてどう思う？ A.,Q.ジャニーズファンについてどう思う？ A.あんまりプライベートにしゃべっちゃいけないだろうけどめっちゃかわいいところに遭遇しちゃったジャニーズファンにも媚びてくわ俺もジャニーズ好きだからめっちゃまじでかっこよくしちゃった今言っていい?
Q.300についてどう思う？ A.,Q.300についてどう思う？ A.300だっけなんかいい武器ねーのいやこれ使いたいな筋力が40なんだよ
Q.東星ネバーズについてどう思う？ A.,Q.東星ネバーズについてどう思う？ A.東星ネバーズの近くある地行ってないなんだっけ
Q.爆弾についてどう思う？ A.,Q.爆弾についてどう思う？ A.マジ原子力爆弾ってもうほんとに歴史に名を残してしまうぜ悪名が轟いて無効
Q.マサルについてどう思う？ A.,Q.マサルについてどう思う？ A.むちゃくちゃかっこよくないあいつ俺が育てたんだけどマサルいいよね
Q.企画についてどう思う？ A.,Q.企画についてどう思う？ A.そんななんか熱い企画だったらわかりました。
Q.綾野剛についてどう思う？ A.,Q.綾野剛についてどう思う？ A.リアルに綾野剛を意識しました別に特に意味はありません
Q.映像についてどう思う？ A.,Q.映像についてどう思う？ A.こんな感じかさすがに映像はみんな写せないからよ
Q.更新についてどう思う？ A.,Q.更新についてどう思う？ A.ここでもうありがとうって言っとくわ見てくれてありがとうでも更新するとクソおもんないゴミどもの名前出
Q.リアルタイムランキングについてどう思う？ A.,Q.リアルタイムランキングについてどう思う？ A.ランキングみたいなのがわかりづらくてさいつも俺これ見てるから配信者リアルタイムランキング見てるのね
Q.しょうについてどう思う？ A.,Q.しょうについてどう思う？ A.いやそれはしょうがないやんかかっちゃったんだもんかかっちゃったんだからしょうがなくない?
Q.二回攻撃についてどう思う？ A.,Q.二回攻撃についてどう思う？ A.ほら遠くからチクチク系あぁ、盾に弱い左手フレイル右手左手フレイル、右手夜のフレイルが強いさっき試したで嘘ついたらおめぇをぶっ殺すことになるあっなんか二回攻撃になる遊びじゃねーんだ
Q.ダメについてどう思う？ A.,Q.ダメについてどう思う？ A.俺だってそんなのダメなことわかってるけど。
Q.ロジックグルーについてどう思う？ A.,Q.ロジックグルーについてどう思う？ A.ちゃんってなんでロジックグルーから提供もらってんの?
Q.やつ秋についてどう思う？ A.,Q.やつ秋についてどう思う？ A.どういうこと血のうな確定なってやつ秋が早いってこと?
Q.ゴミ虫についてどう思う？ A.,Q.ゴミ虫についてどう思う？ A.これかあこれだこのような私のようなゴミ虫が加藤純一大先生の放送をまとめさせていただき誠にありがとうございます
Q.野球についてどう思う？ A.,Q.野球についてどう思う？ A.俺も小6は走ってた野球とかさ
Q.バロについてどう思う？ A.,Q.バロについてどう思う？ A.ほらおいほらほらほらほらあーやばいぞこれバロしよっかもう1押しとく?
Q.方についてどう思う？ A.,Q.方についてどう思う？ A.これヘッドホンした方がいいのか?
Q.件二人についてどう思う？ A.,Q.件二人についてどう思う？ A.隣これこれにしといたわだからあの賭博の件二人で詰めろよ
Q.ごめんについてどう思う？ A.,Q.ごめんについてどう思う？ A.俺知らなかったわしかも俺だけなんかごめんな?
Q.指示についてどう思う？ A.,Q.指示についてどう思う？ A.俺の場合はみんなが指示してくれるもんな多分な。
Q.顔についてどう思う？ A.,Q.顔についてどう思う？ A.インスタいつだって今が最高よなんか別に悪い感じしない久々にコウスケの顔見たわ元気してんのかお前みんななんか感じ悪くないなおえちゃん
Q.臨床検査技師についてどう思う？ A.,Q.臨床検査技師についてどう思う？ A.どんな格闘技やってんのって言われながら入れられたからとりあえず違いますって言いながらだから俺は放射線技師に関してはあれって臨床検査技師だっけ?
Q.近くについてどう思う？ A.,Q.近くについてどう思う？ A.俺近くのリングを閉じ ちょーっと回復してるぜあってやねん 残り45秒心地よいプレッシャーに標的だ
Q.生放送についてどう思う？ A.,Q.生放送についてどう思う？ A.この生放送の勢いで俺の名前使っていいよって言ってお前ちゃんとしたブスだからマジでやめとけ。
Q.公式ツイッターについてどう思う？ A.,Q.公式ツイッターについてどう思う？ A.ハリウッド目指します公式ツイッターだ一番すごいね終わったから最後の挨拶しに来たんだお前
Q.気についてどう思う？ A.,Q.気についてどう思う？ A.俺見た気がするいたよね
Q.外についてどう思う？ A.,Q.外についてどう思う？ A.俺もストリップ行ったから言えねえけど一番汚いやつらと一緒にいたけどでも俺が行ったストリップのジジイどもは外に出てねえ
Q.ブロンズナオコシルバーナオコゴールデンナオコレインボーナオコについてどう思う？ A.,Q.ブロンズナオコシルバーナオコゴールデンナオコレインボーナオコについてどう思う？ A.こうやってオメーラもうこんなんなったんかだんだん進化していくんだな一番最初はブロンズナオコブロンズナオコっていないのブロンズナオコシルバーナオコゴールデンナオコレインボーナオコだよね
Q.褒美についてどう思う？ A.,Q.褒美についてどう思う？ A.今月24時間もYouTuberしたからご褒美に買っちゃお。
Q.ポケモン5についてどう思う？ A.,Q.ポケモン5についてどう思う？ A.ポケモン5はやらないガササヒロキがロシア人のモデルに論破されてました
Q.麻薬についてどう思う？ A.,Q.麻薬についてどう思う？ A.日本で麻薬が合法じゃないのがおかしいっていう人たちについてどう思うんですか?
Q.3日連続についてどう思う？ A.,Q.3日連続についてどう思う？ A.XQCが3日連続で15時間プレイしてて、いけるやん。
Q.最高についてどう思う？ A.,Q.最高についてどう思う？ A.そこ最高におもれぇわ好きだわスコあっけいじま
Q.目についてどう思う？ A.,Q.目についてどう思う？ A.お前そんなんで笑うと思ったか目がグレーでお前
Q.結婚についてどう思う？ A.,Q.結婚についてどう思う？ A.体育の日にしてる子供が生まれた時に健康な子供が欲しいからってキャッキャキャッキャ言いながら10月10日に結婚したけどそれ以降性的接触ないわどうしよう
Q.最悪についてどう思う？ A.,Q.最悪についてどう思う？ A.4000万円くらいそれがトントンになれればいいかなって最悪なトータルでそんくらいだと思うドタン場で色々ね
Q.今ヤーについてどう思う？ A.,Q.今ヤーについてどう思う？ A.今ヤーはあるんだ俺の全スタンプを一旦チャットしてこれか!
Q.風呂についてどう思う？ A.,Q.風呂についてどう思う？ A.11時半に出るための準備をするから、もうちょっとしたらお風呂入る。
Q.時についてどう思う？ A.,Q.時についてどう思う？ A.その時たまたまさ、いや、着てる。
Q.一回についてどう思う？ A.,Q.一回についてどう思う？ A.これ一回さあみんなこれ一回さあ文章作ってからじゃなきゃだめだ。
Q.96年についてどう思う？ A.,Q.96年についてどう思う？ A.競馬知らないから若い頃見せたんだかけたのも有馬記念が最初だぜ有馬が96年のあれやってたんだよ
Q.権利についてどう思う？ A.,Q.権利についてどう思う？ A.お前、加藤純一にバロやらせる権利が500万で売ってんだぞ!
Q.浮気についてどう思う？ A.,Q.浮気についてどう思う？ A.なあそうやって我慢してさあ浮気しないようにさあ。
Q.囚人部屋についてどう思う？ A.,Q.囚人部屋についてどう思う？ A.俺囚人部屋でやりたいだからヤルオの時はスタジオ用意してたけど俺がクレームつけて控え室で撮ってたんだよ
Q.絶対についてどう思う？ A.,Q.絶対についてどう思う？ A.絶対強いな経験値ちゃんとロストするから進まないようにこいつならダメっすかいやーちょっとあ
Q.バロン用語についてどう思う？ A.,Q.バロン用語についてどう思う？ A.バロン用語覚えていくわベニージェット使ううちのジェッターはベニーでいくわジェッターはベニーでいくわおすすめのアイスって何がありますか一番うまいのはあのさ
Q.一時についてどう思う？ A.,Q.一時についてどう思う？ A.一時さ本当に右目まじ見えなくてそんなことってある?
Q.邪魔についてどう思う？ A.,Q.邪魔についてどう思う？ A.そういうとちらつかないめっちゃ邪魔になったんだろうね
Q.ひしアマゾンについてどう思う？ A.,Q.ひしアマゾンについてどう思う？ A.誰のお母さんだっけひしアマゾンの子供なんか俺誰か使ってたよ
Q.水族についてどう思う？ A.,Q.水族についてどう思う？ A.もうさ俺提案なんだけどさ水族館
Q.適当についてどう思う？ A.,Q.適当についてどう思う？ A.適当であんなコメントなんかもうこれ拾お盛りはいかがですか。
Q.血縁関係についてどう思う？ A.,Q.血縁関係についてどう思う？ A.そーなったからそいつの写真になるはずじゃあなんか一緒に見せてお前と血縁関係者だろうな海の生物と泳ぎたいよ
Q.9時についてどう思う？ A.,Q.9時についてどう思う？ A.眠たくなっちゃうんだもんしょうがないじゃん9時に眠くなっちゃうんだからだって
Q.花についてどう思う？ A.,Q.花についてどう思う？ A.花はしかもなんか何がいいってさ
Q.バギーについてどう思う？ A.,Q.バギーについてどう思う？ A.俺にあのバギー俺割っちゃったかもしれんトッポギした今レッツゴートッポギフェイズ3ってやばくない俺ちょっと助けてこいつマジで優しい
Q.6ナオコについてどう思う？ A.,Q.6ナオコについてどう思う？ A.どこで買ったかわかんない嫁が買ってる段ボールでめっちゃ届いてる4、5箱この配信に3.6ナオコかけられてるから重みを知ればオッケー俺の遊びに一歩300円?
Q.スパイダーマンについてどう思う？ A.,Q.スパイダーマンについてどう思う？ A.もうTwitchマジで使い方難しいえ、クリエイターダッシュボードいやスパイダーマンなんておもろいに決まってんじゃんウォッチパーティーを開始え、もうやっちゃっていいの?
Q.ポイントについてどう思う？ A.,Q.ポイントについてどう思う？ A.10万スタンプ1個改造900円あれするポイント
Q.毎日動画についてどう思う？ A.,Q.毎日動画についてどう思う？ A.あんなのめちゃくちゃ大きい声出してた毎日動画上げるまでが1日で動画サボった日は眠れないって辛そうにニコ生休めばいいじゃん
Q.もんについてどう思う？ A.,Q.もんについてどう思う？ A.みんなつけてんだろう 俺が特別だとあいつらが特別で俺たちが特別じゃないんじゃないかなれるもんか何そんな恐れてるんだっけ
Q.山動物についてどう思う？ A.,Q.山動物についてどう思う？ A.山動物園って結構行ったことあるけどさ細かい名前とか覚えてないんだよな
Q.嘘についてどう思う？ A.,Q.嘘についてどう思う？ A.タップストレーフって何やっば嘘だろホイールで何かぐるぐる返ること?
Q.一食についてどう思う？ A.,Q.一食についてどう思う？ A.最初の一食目美味しかったのに何かオートミールが辛いオートミールどう めっちゃ辛い夜オートミール食べたくないリニュー食みたいなやつ でもね味
Q.世界についてどう思う？ A.,Q.世界についてどう思う？ A.どの世界もそんなもんだよねパイオニアがいるんだよ
Q.給与明細についてどう思う？ A.,Q.給与明細についてどう思う？ A.この3ヶ月でどれくらい稼いだのかみんなの方が詳しいから教えてくれ逆になんか自分の給与明細すら見てねえし講座すら見てねえわね
Q.ままコピペについてどう思う？ A.,Q.ままコピペについてどう思う？ A.今の文をそのままコピペしてみろ。
Q.本当についてどう思う？ A.,Q.本当についてどう思う？ A.そんなことしてたら各チラつかしたらないや本当にさ暗殺するしかなくなっちゃうよな
Q.自分についてどう思う？ A.,Q.自分についてどう思う？ A.そっちで削るツイッチは最近始めたからわかんない俺自分にサブスクしてる?
Q.配信についてどう思う？ A.,Q.配信についてどう思う？ A.写真載せても配信載せても大丈夫です
Q.連絡についてどう思う？ A.,Q.連絡についてどう思う？ A.なんなら俺ゲロちゃん乾杯の挨拶してもらう予定だったのにその切り抜き見てえーってなってすぐジャルさんに連絡してた今日
Q.難易度についてどう思う？ A.,Q.難易度についてどう思う？ A.もうじゃあ難易度も間違ってるレベルなんだ。
Q.奥についてどう思う？ A.,Q.奥についてどう思う？ A.奥さんに怒られんじゃないのみたいな。
Q.どんぐりについてどう思う？ A.,Q.どんぐりについてどう思う？ A.どんぐりだからです、僕が言ってなかったっけ?
Q.ゴミペクサーについてどう思う？ A.,Q.ゴミペクサーについてどう思う？ A.びきさせるゴミペクサーどもなんでマップにてめえが写ってんだようるせえ
Q.財宝温泉温泉についてどう思う？ A.,Q.財宝温泉温泉についてどう思う？ A.今の嫁の流行りがこれらしい財宝温泉温泉じゃねえかよ
Q.格好についてどう思う？ A.,Q.格好についてどう思う？ A.俺こういう格好で行ったから同じじゃん
Q.良心についてどう思う？ A.,Q.良心についてどう思う？ A.お父さんとお母さんもびっくりしただろうな笑ってたよでもそういうのに寛容ないや、すげえ良心だな
Q.首についてどう思う？ A.,Q.首についてどう思う？ A.結構壮絶な喧嘩するときは壮絶な喧嘩するよ病院の飲みの薬やばい首のところにピュピュピュってやつね
Q.10についてどう思う？ A.,Q.10についてどう思う？ A.さすがにもう食べようイオリ萌えが恋人いるって聞いたけどもしかしたら萌えが小学校の時に仲良かった6年2組の男なんじゃないかと俺は考えて10校目のカメラマンだと思う
Q.ゼネラルモーターズについてどう思う？ A.,Q.ゼネラルモーターズについてどう思う？ A.なんで改ざんすんのゼネラルモーターズからね、1位トヨタになったって知るよねすげーよな
Q.配信についてどう思う？ A.,Q.配信についてどう思う？ A.俺の配信を見てる配信者が載ってるTwitterがあるの悪魔みたいなどうやってそれあれなの?
Q.鹿児島についてどう思う？ A.,Q.鹿児島についてどう思う？ A.羽田でぴょんで行って羽田にぴょんで帰ってこれるからめんどくせえぜ国内の飛行場がないリゾートって鹿児島とかにもあるけど白浜とかまさにそんな感じじゃん沖縄とかな
Q.日本についてどう思う？ A.,Q.日本についてどう思う？ A.でもそれでもさ医療が保ててる日本ってすごくない?
Q.空バーガーラジコンについてどう思う？ A.,Q.空バーガーラジコンについてどう思う？ A.一応空も出てる空バーガーラジコンだから今両方出てるんだ
Q.バーチャルユーチューバーについてどう思う？ A.,Q.バーチャルユーチューバーについてどう思う？ A.あいつら金だよって俺たちバーチャルユーチューバーとして付き合ってるよ
Q.ゃんだっけひひな花についてどう思う？ A.,Q.ゃんだっけひひな花についてどう思う？ A.ちなみにこの人乃木坂じゃないですマジで言ってんの俺ずっと乃木坂だと思ってたんだけど何ちゃんだっけな名前知っ何ちゃんだっけひひな花いた椅子の上見てください
Q.ザユッケについてどう思う？ A.,Q.ザユッケについてどう思う？ A.まそう極みの端子を素品に食わせよちゃんと焼肉屋のせがれの素品に食わせよ悪口言わせよザユッケたけー
Q.障害についてどう思う？ A.,Q.障害についてどう思う？ A.目に変な膜張ってんのねまぶたみたいな目すげえ寄り目なのこいつ障害持ってんだと思って寄り目なんだやっぱ障害じゃないんだメアリー
Q.以降自分についてどう思う？ A.,Q.以降自分についてどう思う？ A.めちゃくちゃされたんだけどそれ以降自分から言ってたから告白され慣れてなくてさ言われた時にどういう風に反応すればいいか分からんな二十人中ブス何人くらいだった?
Q.3月についてどう思う？ A.,Q.3月についてどう思う？ A.スチームに買っとくか3月に新作出る?
Q.地元についてどう思う？ A.,Q.地元についてどう思う？ A.ちなみに遡ること20年前ビーチボーイズはここの地元で撮ってるんだよ
Q.あと2についてどう思う？ A.,Q.あと2についてどう思う？ A.だからまぁ、あと2、3人適当に見つくろって。
Q.10についてどう思う？ A.,Q.10についてどう思う？ A.1から10まで答えてたら日が暮れちゃうだろ。
Q.工場委員会についてどう思う？ A.,Q.工場委員会についてどう思う？ A.お前にとって工場委員会とか目指すよ工場委員会目指すしかもさはな
Q.ユーチューバーについてどう思う？ A.,Q.ユーチューバーについてどう思う？ A.俺たちだから社会不適合者で実社会に戻れないじゃんイケてるユーチューバーなんか一人もいねえだろ
Q.当日スパチャについてどう思う？ A.,Q.当日スパチャについてどう思う？ A.youtubeに上がってるやつ見たわいやおかしいじゃん当日スパチャ投げないからホロアクティ投げさせてくれ
Q.動画についてどう思う？ A.,Q.動画についてどう思う？ A.ハゲの動画そろそろ、明日12時に動画上がるわ、そういえば。
Q.揉め事についてどう思う？ A.,Q.揉め事についてどう思う？ A.一緒に居たくせによくやるのバカそれなんか家で揉め事があんだよ
Q.法改正についてどう思う？ A.,Q.法改正についてどう思う？ A.今日からなんだ、その法改正は。
Q.クレーバー当てについてどう思う？ A.,Q.クレーバー当てについてどう思う？ A.了解遠いなぁ了解ん クレーバー当てまくってのがやべえああああああ
Q.ほんとについてどう思う？ A.,Q.ほんとについてどう思う？ A.まさかほんとにかっき消してくれるとは思わなかったえ、ちょっと強いw
Q.関係についてどう思う？ A.,Q.関係についてどう思う？ A.そこビジネスの関係性なんだから俺だってこれ暮らしてんだから いくらねあのーねえ
Q.携帯についてどう思う？ A.,Q.携帯についてどう思う？ A.俺どっかで反射で携帯の反射とか見ろ
Q.全員についてどう思う？ A.,Q.全員についてどう思う？ A.全員で受けてる人もいっぱいいるってことだよ。
Q.1万円についてどう思う？ A.,Q.1万円についてどう思う？ A.お前が頭を地べたで俺が捨てたガムのところでこうやったらお前1万円投げてやるぞって1時間土下座させるわどうお前も見に来いそこでオフ会しよう
Q.相談についてどう思う？ A.,Q.相談についてどう思う？ A.しかも俺専門家に相談しようと思って。
Q.毛についてどう思う？ A.,Q.毛についてどう思う？ A.ボードにちょっと毛が生えてるぐらいがいいわなんか、どれだっけなぁ
Q.馬についてどう思う？ A.,Q.馬についてどう思う？ A.俺ちゃんとこんなに馬いっぱいいる中で人間を引き当ててるんだよ
Q.風俗についてどう思う？ A.,Q.風俗についてどう思う？ A.加瀬さんが、あの人は風俗ならOKじゃんって言ってるけど、普通の最大者はアウトだよって言ってた。
